Data aggiornamento;Regione;Latitudine;Longitudine;Ricoverati con sintomi;Terapia Intensiva;Totale ospedalizzati;Isolamento domiciliare;Totale positivi;Variazione totale positivi;Nuovi positivi;Dimessi guariti;Deceduti;Casi da Sospetto diagnostico;Casi da screening;Totale casi;Tamponi;Casi Testati
24/02/2020;Campania;40,83956555;14,25084984;0;0;0;0;0;0;0;0;0;;;0;10;
25/02/2020;Campania;40,83956555;14,25084984;0;0;0;0;0;0;0;0;0;;;0;10;
26/02/2020;Campania;40,83956555;14,25084984;0;0;0;0;0;0;0;0;0;;;0;10;
27/02/2020;Campania;40,83956555;14,25084984;2;0;2;1;3;3;3;0;0;;;3;10;
28/02/2020;Campania;40,83956555;14,25084984;2;0;2;2;4;1;1;0;0;;;4;213;
29/02/2020;Campania;40,83956555;14,25084984;3;0;3;10;13;9;9;0;0;;;13;373;
01/03/2020;Campania;40,83956555;14,25084984;4;0;4;13;17;4;4;0;0;;;17;373;
02/03/2020;Campania;40,83956555;14,25084984;4;0;4;13;17;0;0;0;0;;;17;373;
03/03/2020;Campania;40,83956555;14,25084984;11;0;11;19;30;13;13;0;0;;;30;405;
04/03/2020;Campania;40,83956555;14,25084984;11;0;11;20;31;1;1;0;0;;;31;429;
05/03/2020;Campania;40,83956555;14,25084984;12;0;12;33;45;14;14;0;0;;;45;471;
06/03/2020;Campania;40,83956555;14,25084984;12;0;12;45;57;12;12;0;0;;;57;471;
07/03/2020;Campania;40,83956555;14,25084984;16;0;16;45;61;4;4;0;0;;;61;612;
08/03/2020;Campania;40,83956555;14,25084984;30;7;37;63;100;39;40;1;0;;;101;980;
09/03/2020;Campania;40,83956555;14,25084984;42;8;50;69;119;19;19;1;0;;;120;980;
10/03/2020;Campania;40,83956555;14,25084984;33;8;41;85;126;7;7;1;0;;;127;1141;
11/03/2020;Campania;40,83956555;14,25084984;56;11;67;82;149;23;27;4;1;;;154;1375;
12/03/2020;Campania;40,83956555;14,25084984;56;11;67;107;174;25;25;4;1;;;179;1551;
13/03/2020;Campania;40,83956555;14,25084984;60;19;79;134;213;39;41;5;2;;;220;1671;
14/03/2020;Campania;40,83956555;14,25084984;72;17;89;154;243;30;52;23;6;;;272;1936;
15/03/2020;Campania;40,83956555;14,25084984;73;22;95;201;296;53;61;28;9;;;333;2213;
16/03/2020;Campania;40,83956555;14,25084984;103;22;125;238;363;67;67;28;9;;;400;2517;
17/03/2020;Campania;40,83956555;14,25084984;127;24;151;272;423;60;60;28;9;;;460;2685;
18/03/2020;Campania;40,83956555;14,25084984;127;24;151;272;423;0;0;28;9;;;460;2685;
19/03/2020;Campania;40,83956555;14,25084984;213;36;249;356;605;182;192;30;17;;;652;3544;
20/03/2020;Campania;40,83956555;14,25084984;130;41;171;531;702;97;97;30;17;;;749;3845;
